plateifu gini m20 C A S morph_flag
8081-3702 0.6644613697626719 -0.45752369267207393 1.8002526721639212 0.9720955598573316 0.6044226830162867 1.0
8081-3704 0.42624238180426277 -0.9511796712673815 1.9709042085312785 0.45513450896383545 0.15958943101603232 0.0
8081-6103 0.36193195307054565 -0.7973448484130911 1.8659692356959625 0.5779555886962586 0.2122442604432531 0.0
8081-6104 0.7336278760186244 -0.5892922052949492 1.5121981087224878 0.6512875771720191 0.06099212024437232 1.0
8081-9101 0.4973269086435136 -0.7215936406551412 2.0331144393705505 0.4452376420310656 0.20972572352319285 0.0
8082-6101 0.6106438737763488 -0.84241715553588 2.6238779208717924 0.8304551166572598 0.493933921244944 0.0
8082-6103 0.37075690500706443 -0.8225747717861042 1.7185206755380849 0.5805233256751539 0.14307783729793844 0.0
8082-9101 0.500133080192061 -0.8027310129801838 1.59082760109911 0.7065450212134656 0.25560264337695 0.0
8083-3702 0.5277107553921734 -0.8182039222336187 2.4418701342517544 0.5644129332790949 0.2342999071863658 0.0
8084-12701 0.5051930783784612 -0.8013054363643921 1.6370307373539248 0.8181233061033647 0.29347850283383276 0.0
8084-12703 0.40732874557003257 -0.7260895647611663 1.272678479260386 0.4854805337500494 0.23878981051606488 0.0
8084-3702 0.3701285544243195 -1.0391506698054265 1.8496277363974722 0.34771115720219054 0.1509503346294423 0.0
8084-3704 0.37553707607444375 -0.5095424897608698 1.5234442077500812 0.560632543912835 0.25779622031123667 0.0
8084-6101 0.4126206871988925 -1.1306128157457436 1.9204988848389597 0.664843872468514 0.1421089598866439 0.0
8084-6102 0.32971065977780917 -0.6976190519606235 1.3814201494015321 0.41792331777131575 0.18503689818937963 0.0
8084-9102 0.36864172945088225 -0.9830826673426665 1.7328683893391295 0.543768079361014 0.18102549078847244 0.0
8086-12701 0.6673260343365678 -0.8232801138739727 1.4046675394705406 1.1254529765715342 0.6707919913134169 0.0
8086-1902 0.3778346797210636 -1.072550292543754 1.6853794515171103 0.5206203363668848 0.11219306794988952 0.0
8086-3702 0.2447164610167437 -0.5752922607124578 1.3556728126722875 0.23216497586194795 0.15965805511634615 1.0
8086-6102 0.7804398280783968 -0.6074048356640824 1.1899617440080474 1.24706794171775 0.7681163870869931 1.0
8131-6101 0.4571655774095647 -0.5691312913838329 1.4965230366530136 0.1697262720418858 0.0038738740043576803 0.0
8131-9101 0.5381086898473599 -0.9535037845287861 2.341795298015978 0.788291872342702 0.21158851615712657 0.0
8132-12703 0.37327587143690927 -0.6744260927999485 1.170722584627201 0.5449129778764281 0.24662431276240626 0.0
8133-12705 0.37321161479393467 -0.9551684032502672 1.5345864457429652 0.7260297229434619 0.2444752229611106 0.0
8133-3701 0.3651836833206741 -0.939411733059059 1.8834596238992134 0.5204560359686539 0.18540577886000384 0.0
8134-12703 0.37681443965932027 -0.7848950643248317 1.8081653361217533 0.6059021285104593 0.23847497046841576 0.0
8134-12704 0.35374858215099364 -0.6177184447163827 1.098987641319128 0.550833449086009 0.2681971045463554 0.0
8134-1901 0.3269020642975337 -0.7793083326667283 1.3238185072188988 0.6145719576291663 0.1370908280046159 0.0
8134-6103 0.5341372467536646 -0.7424796281934598 1.2573976937692044 0.9807054045326711 0.17454019706848142 0.0
8135-12702 0.50015570644729 -0.6215083483026705 1.2640405155851502 0.6427344035834812 0.3067368705310478 0.0
8135-12703 0.3847341493289134 -0.6436753763620608 1.4760216904633872 0.5524204378228972 0.3185452215116711 0.0
8135-12704 0.5275236832134947 -0.7610507218334883 1.1587920887400736 0.8058920263788963 0.3461926008757797 0.0
8135-1901 0.47537484377160094 -1.7083673130810637 2.6219305394009695 0.3764753874932518 0.1373001955945204 0.0
8135-3702 0.37612115921245837 -0.6162008909508246 1.372133827620659 0.5378266194525327 0.1829810271420253 0.0
8135-3704 0.41045503669925076 -0.5649996259162235 1.6272990049451532 0.5806079284563042 0.22816073809636064 0.0
8135-6101 0.42720820559148004 -1.1170925189444199 2.100672800936576 0.749271021771174 0.14400555191884853 0.0
8135-9102 0.4494520198625148 -0.8263515736065232 1.9936746540781125 0.6178901735363137 0.3140890563513426 0.0
8137-12702 0.35753877574154397 -0.6538303293679035 1.50034943381082 0.5125687554978274 0.2356387934954352 0.0
8137-12703 0.3934846973414827 -0.6679091348259403 1.336407399891049 0.5023821406361721 0.23375642836001292 0.0
8137-12704 0.44369655867903185 -0.6825855637700933 1.4238690574442794 0.6415544595867988 0.32455248521118474 0.0
8137-3702 0.35223321466027174 -1.5705901613289694 2.1235488366578323 0.26488716378289334 0.09896265620026809 0.0
8138-12701 0.40157924751110663 -0.8058445583404783 1.450626966008013 0.7130338803630173 0.21579268444302166 0.0
8138-3704 0.45860814200152017 -1.5021454003535493 2.6612376897203927 0.4701266880941151 0.2292476005363426 0.0
8138-6104 0.3852754611798722 -0.8581277210548801 1.5886886764952113 0.3720744429327768 0.1593658992874259 0.0
8138-9101 0.35835349323937027 -0.6033568624705518 1.2450457759791207 0.510322053179167 0.2353724889435859 1.0
8138-9102 0.5381562257388351 -0.7016024648317046 1.318200845847125 0.5515965022131096 0.3026375261023172 0.0
8140-12705 0.40056552178027577 -0.9001681992881481 1.323396960744099 0.7085388274537596 0.22191965014825316 0.0
8140-1902 0.2813222351860477 -1.0752805395126424 1.8247447084869473 0.3334060029723501 0.12875535566742585 0.0
8140-3701 0.3276919856603774 -0.847004808098587 1.4151498054069265 0.3915571597842347 0.14327077754378062 0.0
8140-6102 0.4076611527203067 -0.8940825241330539 1.734975014485975 0.519469320640919 0.18678319727603315 0.0
8140-9101 0.4565865350648448 -1.1945545607317383 1.6742461445407493 0.7499314941252702 0.20400889889386845 0.0
8141-12704 0.4278112237524218 -0.6782531110999833 1.2945559110952942 0.7114319628349625 0.31332207681633234 0.0
8141-9102 0.3928673194918742 -0.7948458874848491 1.3824543426239129 0.7639022121222123 0.17595726992780064 0.0
8143-6101 0.4913210681641285 -0.764308039044161 1.6587367180615078 0.6472576278816733 0.2504128078690924 0.0
8143-6102 0.35661045840674466 -0.663438917243064 1.2377296882881141 0.5416240127763178 0.19692883519335974 0.0
8143-9102 0.3702838103547416 -0.7329226461896969 1.605099850941856 0.548376616915877 0.31616365329440405 0.0
8145-12704 0.47226925064443237 -0.7145988553773149 0.954132777122766 0.7286235816658616 0.27956769818085947 0.0
8145-1901 0.3621733362587712 -0.6873106429409355 1.04616104809841 0.5106060363139677 0.14677175675547738 0.0
8145-3701 0.445902897535056 -1.6325500800556343 2.365094570356317 0.2781899362741434 0.15670310568833273 0.0
8145-6102 0.8585770061949409 -0.5699130132540591 0.9686596749706623 1.4239905355616689 1.117922874676574 1.0
8145-6103 0.3407183825611247 -0.7164603349938243 1.3864820889996308 0.5516674719088746 0.2158605104273203 0.0
8145-6104 0.5847027586031457 -0.8949934908625995 2.119016625664033 0.6267150723563931 0.3295211277216125 0.0
8145-9102 0.5808859087857229 -1.070471023587025 1.0905177639493113 0.9726168898132597 0.2076717235902812 0.0
8146-12702 0.41418829528941414 -0.652174038962837 1.6401736089712358 0.6467624785325722 0.2847152753962196 0.0
8146-1901 0.5170308506758264 -1.6130064330597322 2.3595461367722983 0.18144965673724975 0.07580395798449821 0.0
8146-6103 0.4958802658862849 -0.8969524223183034 1.0358369643193712 0.9100473707844329 0.18397349496998633 0.0
8146-9101 0.4976758261569324 -0.7015864399875427 1.41287826585567 0.726338351736957 0.2709826430002703 0.0
8146-9102 0.5818751907545433 -0.6987083921234025 1.5257168145792235 0.5292212815521935 0.32108808232897323 0.0
8147-12701 0.42367568582496695 -0.5790729100511949 1.2705914544815147 0.45254412854386616 0.22926293464194555 0.0
8147-12703 0.40756106605680675 -0.8952866345528517 1.264781286570804 0.7356124600092332 0.20001144186441466 0.0
8147-1901 0.4340154419508299 -1.6257350237052015 2.3925838185229544 0.133849053581476 0.08423211977151882 0.0
8147-1902 0.4169357055346605 -1.6557938208616414 2.3725002756002733 0.20497870124529904 0.08475021053047516 0.0
8147-3702 0.3993543007821201 -0.8339959165622015 1.6798631670331545 0.4238834469391843 0.14142926399352046 0.0
8147-3703 0.27263905388848286 -0.751363487723595 1.4342703714732907 0.3948133655460474 0.15587607901477085 0.0
8147-6101 0.4070580939328763 -1.2204780946715807 1.7724474746550942 0.7123183418043376 0.12486892472423214 0.0
8147-6102 0.323853930064897 -0.7364202505386835 1.2634002267069464 0.4373705211454566 0.14127459998851033 0.0
8147-6103 0.3414668394294265 -0.7258027383342146 1.6572291755364585 0.5147946728561078 0.1231797650899544 0.0
8147-9101 0.4348448879666925 -0.5272360901809385 1.4378219755537112 0.6543551467038012 0.2705053598372703 0.0
8147-9102 0.6410085781572467 -0.7510094828352689 1.2571675640187376 0.8885084485933477 0.25986823318685437 0.0
