plateifu bin_sf_num slope zp r2 e_slope orslope orzp slope1 slope2 tpx tpy mode_flag
10001-12702 91.0 0.338472759467278 -5.737034345997033 0.6906514190749118 0.03756824530711029 0.4068190567862428 -6.275611836613953 0.12761849938114037 0.4857624621074923 7.426674561425947 -3.3087238690428333 0.0
10001-3702 276.0 1.8551487208198676 -18.14234123987973 0.9010616912879115 0.05394227640166923 1.9448349345316793 -18.94908955116772 1.1579111008355707 1.940660416962177 8.240320421041432 -2.8993145447253306 -1.0
10001-9101 200.0 0.9676520698643868 -9.972128168732056 0.7335900415535971 0.06370619062682426 0.85585619576008 -9.057936778343313 1.0672731710956267 0.8249826789757262 7.886823985031586 -2.300938734928199 -1.0
7443-12702 273.0 0.5655764279847157 -7.14610234445203 0.7450927538474925 0.030753649728375836 0.5872759606235818 -7.297102424874991 0.7543741787111726 -0.18140200080962798 8.246501907701719 -2.350374777797494 0.0
7443-12703 781.0 1.4781871536518945 -14.17500970102411 0.9290346876868153 0.021092198163289725 1.5152608670142136 -14.4993123943045 0.8631657820321652 1.660735145237921 8.187466007444923 -2.2098340078912044 0.0
7443-1901 218.0 1.3406819863547939 -13.40828306324623 0.8513081675490924 0.056220540155037135 1.340681986354794 -13.408283063246234 1.4309232998336021 1.2250207900335945 8.426884430969677 -2.0784454617338897 0.0
7443-3701 189.0 1.0702657394443542 -10.824605898273921 0.798066168968693 0.05909344328186234 1.0702657394443542 -10.824605898273923 1.2807740153816285 0.6209026092533905 7.908038044844322 -2.2619184587820738 0.0
7443-6101 82.0 0.45684441100366646 -6.213546921122518 0.8173112129724845 0.036008618922405373 0.4874025344990708 -6.438680623731858 0.5223277334174469 0.2005513955255583 7.606507709954485 -2.67377587504191 0.0
7443-9101 455.0 0.9928987085979516 -10.262075613287003 0.8230982818155612 0.0321866083968825 1.0141620187264189 -10.442010038421056 1.0442112715877636 0.842723239252703 8.523201399980397 -1.7688240310461572 0.0
7495-3701 292.0 0.5433469681003931 -6.558581331820247 0.7340961276679072 0.02951373891409914 0.540275187295539 -6.5263983757428745 0.7259734685929546 0.2467850744606667 8.635151120150507 -1.7790116552862756 1.0
7495-6101 77.0 1.429727394234433 -13.758502624204215 0.8556280278956941 0.09986757645858889 1.503438027661999 -14.327465880345159 1.9348539595895027 0.43492975209057505 7.651725855081177 -2.6191071572592386 0.0
7495-6102 187.0 1.2116641516808786 -11.328422812149476 0.9056329027928385 0.0417132589659147 1.2116641516808795 -11.328422812149485 1.0733554354217232 1.3029046205723074 7.375898384055608 -2.439666545493145 0.0
7815-12703 93.0 1.1882149971285094 -12.530628051983298 0.893408476928699 0.06263365517611727 1.2097352664484349 -12.721912975459135 1.0845514856329421 1.524809347995758 8.589191603900554 -2.3875037024595906 1.0
7815-3702 401.0 1.3603457449861043 -13.582079231748768 0.9141386000316212 0.03020205404052273 1.3906463971319782 -13.852415542782616 1.6236337730163437 0.9132564699666472 8.870169859735492 -1.374896667307026 0.0
7815-6103 185.0 0.7787371825936527 -8.269556728427057 0.9127989838717979 0.025756429455998715 0.7787371825936531 -8.269556728427059 1.0064593143016534 0.3472024594277815 7.969779994957383 -1.9009717172639047 1.0
7957-12705 258.0 0.5744627513694651 -7.163769351806559 0.7102169798167897 0.03558876474749496 0.6226502294959206 -7.542980746907203 0.9477870263385704 -0.36011088905030203 8.113919938034805 -2.233761738274934 1.0
7957-3703 102.0 1.5130942942645482 -14.229091326385792 0.8076258397395558 0.11047993930036418 1.5130942942645476 -14.229091326385792 0.9853484209526572 2.313467730893367 7.6883762148166435 -2.8278427081699107 -1.0
7957-3704 80.0 1.4964368530786292 -14.360784191804811 0.7936327054478591 0.12989090107096404 1.6149282234865785 -15.33904317917827 2.0917093402984097 0.6488623391294792 8.093342291278848 -2.0505845753782794 -1.0
7957-9101 119.0 0.8620840994481176 -9.209175337049691 0.8116204478163794 0.057365952772884275 0.8635251192346096 -9.227865740034186 0.9398540585424959 0.7895651191425771 7.600262085123704 -2.6289997627050297 0.0
7957-9102 543.0 0.8176530045581357 -8.721946052698971 0.8081674246121427 0.0256182560744374 0.8021722078083182 -8.591323736716683 0.7493760625841139 0.8910895038600968 8.272574704511634 -1.984815955919789 1.0
7960-12705 561.0 0.8126744717939828 -8.8247020526145 0.8713411817045736 0.019356139346468293 0.8818764383590271 -9.405388839153657 0.7795290937672156 0.8458427497509453 8.109236345373407 -2.2476990020808367 1.0
7960-3704 231.0 0.5092096452936956 -5.8976993490355305 0.5644137050156565 0.04921463164444763 0.5034582625211821 -5.847227809387673 0.4195674888374703 0.5929433104980113 7.5397831468538605 -2.096637851577645 1.0
7960-6101 132.0 1.1679007277679194 -11.798959190095456 0.806501435032599 0.07509087035790767 1.2081168863968503 -12.116904025200254 1.9975945041823044 0.4788106941024729 7.672211773560781 -2.6031010879712926 0.0
