plateifu bin_sf_num slope zp r2 e_slope orslope orzp slope1 slope2 tpx tpy mode_flag
10001-12702 63.0 0.32088311229396377 -5.400500428185532 0.6409517474472205 0.04920179214125672 0.32088311229396393 -5.400500428185532 0.40261365769300106 0.02613914335571623 8.113622855707176 -2.7634780365976175 1.0
10001-3702 232.0 1.7000332279421655 -16.586878518995857 0.8830888244376955 0.05955970251225718 1.8355184431230138 -17.80125865864979 0.7297648897405329 1.802699553995581 8.358515987551531 -2.41682671000999 -1.0
10001-9101 182.0 0.9351210433603586 -9.525360129844746 0.7067136865983369 0.0697773238942763 0.8591576846123511 -8.899656734522392 1.43825299740656 0.7134329083727698 7.756475664340872 -2.1824499342970842 1.0
7443-1901 217.0 1.3442028168944904 -13.268453498999964 0.849827183482492 0.05685598581346314 1.3442028168944908 -13.268453498999968 1.4420694644391738 1.2207394190907495 8.426885528624602 -1.906712370420485 -1.0
7443-3701 170.0 0.9608617291250354 -9.771516323117828 0.727785886059393 0.06985587010841923 0.9608617291250354 -9.771516323117826 1.1272997305480768 0.27924886940669297 8.093317158014367 -1.9200307943533297 1.0
7443-6101 62.0 0.4484220520468065 -5.9689449871027005 0.8670671644556849 0.03326248575180382 0.4272755029705466 -5.804999291525124 0.6349270596980073 0.13305299863825337 7.495801350006153 -2.4916732080216684 1.0
7443-6102 623.0 1.4040170682419246 -13.578713735663852 0.9275830588090146 0.02269344440025973 1.3953204764454952 -13.499614365429935 1.6627976103635376 0.6538072213335793 8.921941221252343 -0.8957800915464313 -1.0
7443-9101 433.0 0.9971058939237633 -10.127577447517304 0.7876378351158446 0.037571144033407715 0.9864392842094692 -10.033900285403737 1.083386730100357 0.808729146134592 8.542105396261675 -1.568387740766925 1.0
7495-3701 281.0 0.5844533795019632 -6.74235813572173 0.7811882203296721 0.02796290859467871 0.5356504374077651 -6.314740501977515 1.0002305002583014 0.24219645852959984 8.494472997973357 -1.6402034063522757 1.0
7495-6101 70.0 1.5157471006470988 -14.25256251805756 0.8447601445788114 0.11644221078619325 1.515747100647099 -14.252562518057564 2.4357067394880216 0.2252174203883094 7.6425044070643295 -2.3865307461582024 -1.0
7495-6102 172.0 1.2271509474213853 -11.279909748117214 0.8891065046508909 0.048450804959568744 1.227150947421386 -11.27990974811722 1.1264721113400953 1.2863474584110581 7.460849545702843 -2.1525609427103625 -1.0
7495-9101 69.0 0.6896174914231419 -7.628391262928185 0.8793956005325406 0.04561180475636871 0.6896174914231422 -7.628391262928188 0.3263266061832169 1.0998911110557459 7.312343197980255 -2.778892099777766 1.0
7815-12703 73.0 1.1065002081137914 -11.637387100005586 0.850755403141941 0.08112251962819095 1.1533636623246593 -12.048772454721707 0.8481681590887599 1.4737560870262407 8.497152372909826 -2.3339505249612658 1.0
7815-3702 383.0 1.319179829264978 -13.038962025185814 0.9102161417124628 0.030749451182060652 1.347846771222736 -13.293938751838242 1.5623670762690813 0.8975299888283828 8.898122665332538 -1.172151754577216 -1.0
7815-6103 132.0 0.5930868276449289 -6.557245246460394 0.8349536453623652 0.034284652685881094 0.50611339349631 -5.8333822275416205 1.173611223161952 0.34492022493036834 7.889008630086777 -1.7537273480294338 1.0
7957-12705 213.0 0.5932882741588247 -7.071155338277632 0.6884989909927066 0.04302306639873444 0.5932882741588242 -7.071155338277627 1.0802439356775562 -0.22668925354567965 8.082541601561383 -2.048869632805416 1.0
7957-3703 93.0 2.161921237966773 -19.199047793450625 0.8184322096264236 0.15911254444331652 2.1619212379667676 -19.19904779345059 2.8272946544984263 1.0336270261247515 7.937741975980234 -1.8565635346159024 -1.0
7957-3704 74.0 1.5482736563879531 -14.615690508164008 0.8010752797566268 0.13633848279910454 1.5482736563879524 -14.615690508164 2.8880201053388346 0.6919035605079892 8.014990485662654 -1.9475354112824748 -1.0
7957-9101 105.0 0.7461913236936328 -8.10294495859747 0.8012010075107128 0.05491339264865079 0.7509226331974738 -8.147477719149979 0.6914351967542063 0.8470847537404974 7.880660617966579 -2.2475214108137083 1.0
7957-9102 531.0 0.7959016267162816 -8.36789216882095 0.8023081747046394 0.02574537493869278 0.8025074931372834 -8.423623120937386 0.6511058861175287 0.902848000191089 8.210637577279234 -1.878063418241537 1.0
7960-12705 539.0 0.9007659099167205 -9.39545810623608 0.8949226809313815 0.019381595376037432 0.8997355283861712 -9.386642340905691 1.025890801547175 0.7382452619871824 8.32828485225316 -1.8472240912863322 -1.0
7960-3704 215.0 0.5675308295390258 -6.185638626951114 0.5524503783592363 0.05867266867936071 0.5675308295390274 -6.185638626951121 0.6685366861379273 0.30255329540845105 8.001078353587854 -1.5924782185634276 1.0
7960-6101 121.0 1.119844632797754 -11.24347145128026 0.7936906577221202 0.07868034292347455 1.1198446327977551 -11.243471451280268 2.132411116301305 0.4386974800177849 7.6678379622055575 -2.4171495318050695 -1.0
7960-6102 244.0 0.898386345667694 -9.297328497926062 0.620459742330305 0.0729944597454359 0.8983863456676946 -9.297328497926065 2.1400615184716383 -0.06935435047358979 7.862810433269182 -1.8978444114737576 1.0
7960-9101 143.0 0.7016132390868038 -8.23867934296764 0.5459757608630664 0.09066835088594447 0.7016132390868038 -8.23867934296764 0.9052126491644219 0.3952076497485405 8.094044755596238 -2.4943941288035827 1.0
7962-12704 551.0 1.1866842523704357 -11.756972444964843 0.8445980730325123 0.032105393401818956 1.1837266140926457 -11.741461623085193 1.1317434887334001 1.234757615583319 8.216112738686675 -2.0222572433073367 -1.0
7962-9101 67.0 0.3331448219737885 -4.25060964108365 0.6805312873324701 0.04449034357379487 0.3464150543192823 -4.386811289632909 0.17087633041029343 1.1054037058858288 9.22868280969912 -1.3050607777538719 -1.0
7975-12705 88.0 0.5359157450949756 -6.450815281156073 0.7831236255658222 0.045889551622810325 0.5010016517842281 -6.1740288693020675 0.602948137442793 0.2409892773338295 7.825369097200647 -2.2143770466283974 1.0
7975-6104 210.0 0.8099969171021953 -8.755763599145993 0.646899459674617 0.06620604496506398 0.6084588697821505 -6.9747903640654565 1.6091393567102235 0.41742229346241166 8.461433005044128 -1.7537584556845627 1.0
7975-9101 275.0 0.4158149624699435 -5.586384422002881 0.6477823120391211 0.029596830358233493 0.4158149624699444 -5.5863844220028875 0.3624835251581598 0.578294188136927 8.402126019236041 -2.1214224512406443 1.0
7977-12701 218.0 1.2051231580659603 -11.658740864838176 0.8920313817708679 0.0415467792766346 1.2051231580659598 -11.658740864838173 1.4544489448279716 0.9203287445661636 8.076523324936815 -1.8128971122095487 1.0
7977-3703 402.0 1.2874153295238544 -12.62994150122405 0.8574789056289605 0.03862484546378873 1.3154569825793687 -12.876002925640629 1.4898656992488652 0.6790439209692327 8.807767004993659 -1.1938932375329465 1.0
7977-3704 339.0 0.6125048272934629 -7.357069842880806 0.69883364227088 0.03415068475359049 0.6220090750526628 -7.436811919102112 0.8064569382830433 0.12592372760735956 8.677219650154235 -1.962676924536469 1.0
7977-9102 328.0 0.8615439210054959 -8.994397690296344 0.8606349466236229 0.028233009550632966 0.8230675999876476 -8.663000668448198 1.1806348617154852 0.4572089855325022 8.463908002757641 -1.535500296177145 1.0
7990-6101 118.0 1.174436185523525 -12.182294674289217 0.7925952780368278 0.08388791347935513 1.2507392084232682 -12.834701830211683 1.298539623638567 1.0715777372850432 8.277731398159045 -2.4365628458535196 -1.0
7990-6103 267.0 0.7173521678589903 -8.454587609943594 0.6093786093207307 0.057336264648181715 0.7173521678589899 -8.454587609943593 0.9838399533586257 0.09878211163142493 8.41855962008459 -2.328424412727855 1.0
7990-6104 447.0 1.0865226860418027 -10.5380267896114 0.8035161740542255 0.038158174854633124 1.1038886393629288 -10.682622010027037 0.48616893720660737 1.4139707600449232 8.13153841245851 -1.8357781762692784 -1.0
7991-12704 232.0 0.6282191651688805 -7.108161443862793 0.8293377467791379 0.0279081800624802 0.6350460679190282 -7.17652727477699 0.8721039924814008 0.10850319837308947 7.919806024708689 -1.9877745845805772 1.0
7991-12705 98.0 0.5934958752234689 -7.315122439261363 0.6603155721689907 0.06889119032306584 0.5934958752234689 -7.315122439261362 0.3670688066249758 0.797065806382762 7.838356905047244 -2.7539594780195893 1.0
7992-1901 196.0 1.1409287046787224 -11.35184665464943 0.8583664048871925 0.04895913571058593 1.1423477779577487 -11.361454118247627 1.3368903001986923 0.4513821918335232 8.574919418198103 -1.4686735817216403 1.0
7992-3702 257.0 0.9615304600797759 -9.457843844734803 0.7892275222736455 0.04685225196107452 0.9169083860196665 -9.077330207092508 1.5527243555184713 0.35113693099468873 8.311541716366753 -1.2741979948412758 1.0
8077-12701 49.0 0.234687798564865 -4.411857336522708 0.3873061381116066 0.08148827435754467 0.23468779856486546 -4.4118573365227105 0.7392613077670592 -0.029091459302722538 7.684021226614939 -2.537574281181824 1.0
8077-3702 216.0 1.5400376693972506 -15.183484982878506 0.7713025418003964 0.08687138316458409 1.6520440485640873 -16.1985482914953 1.797791956107471 1.1107090642560233 8.919915620667366 -1.3397836107374312 -1.0
8077-3704 215.0 1.3176841477975056 -13.705387194540997 0.829067819074726 0.06089172577064427 1.4806394609143032 -15.198118046078726 1.3784787925248976 1.19849748500753 9.13064548653688 -1.650754794146246 -1.0
8077-6104 436.0 0.37312772463988275 -4.943814798240309 0.4996347350102058 0.031052484534146822 0.4191627920492911 -5.340369292139929 0.24003307436384633 0.4635660715723314 8.180967413999005 -1.9232180868080975 1.0
8078-3702 95.0 0.7565360773891855 -9.126450029598946 0.5700865962073004 0.11305756691170404 0.7565360773891852 -9.126450029598942 1.1610788197792286 0.11647974049298071 8.229131333406457 -2.824238287388028 1.0
8078-3703 179.0 1.099370420762167 -10.783027573731557 0.8282775344636821 0.0559005591044981 1.1780135909039848 -11.424726184340146 0.8472205408843921 1.607434862534379 8.139240543373077 -1.9350642112972198 -1.0
8078-3704 198.0 0.43534893145422454 -5.531093448103132 0.6483150247164688 0.03651912612862699 0.4518359554367237 -5.666947194876828 0.9686791227457033 0.2503444419787956 7.660554046411075 -2.1104877778894253 1.0
8078-6103 637.0 0.5211985267636191 -6.096994135590943 0.5173115939590165 0.034216448252647094 0.5129340671167764 -6.026159901737811 0.9073394754772286 -0.22416479179566887 8.753462522263463 -1.3899382800883193 1.0
8081-12702 25.0 0.2457672131148875 -4.82475267215825 0.4563238412250884 0.09992772293958217 0.24576721311488825 -4.8247526721582545 -0.03875549691434409 0.3850826089804395 7.252095092846871 -3.1021689377965056 1.0
8081-1902 100.0 1.3785150680726275 -13.499968532716323 0.9266307430871187 0.05649995191449352 1.3785150680726277 -13.499968532716325 1.4417920852960853 1.2900191541382926 8.273388497923174 -2.072094084388097 -1.0
8081-3704 255.0 1.3379185314096762 -12.324288513811467 0.8336930369729983 0.05571623592059316 1.291853250695517 -11.931041191774849 1.5000398016467082 1.0532243359771059 8.398485268352687 -1.0267777135996639 -1.0
8081-6103 153.0 0.9455497498636233 -9.67760735598578 0.8516108291406645 0.047362072169883494 0.928597279799595 -9.534485503167726 1.3546854772889967 0.4781814096708327 8.119740863024271 -1.8674539480408259 1.0
8081-9101 389.0 1.1368025178680128 -11.661264568299124 0.7112589910520924 0.05711022632705647 1.1368025178680132 -11.661264568299128 1.6299746063802882 0.5263004334374269 8.92943107560567 -1.2878022404798264 -1.0
8082-6101 50.0 1.604763778909622 -15.302346836711482 0.7291345127626768 0.2174072711005915 1.6047637789096276 -15.302346836711529 1.686206371018735 1.5192319915571508 8.081372366166852 -2.321061670270088 -1.0
8082-6103 465.0 1.1503366841188096 -11.149615750707554 0.8441062915252892 0.03395819561777211 1.1804562077944516 -11.408902066987318 0.706737470610018 1.3164679987251213 8.111203130645382 -1.8963398608644186 -1.0
8083-3702 149.0 1.2539431682453808 -12.683448014364576 0.7669313732820713 0.08653951000936837 1.2937213139642316 -12.979998449868427 1.177788504064546 1.4346557605161478 8.657873053399603 -1.8578923847201418 -1.0
8084-12701 78.0 1.3822573859503342 -13.307294974395068 0.7223954453046986 0.1517703207147258 1.3822573859503344 -13.307294974395068 1.1079034472378873 1.6033751462331112 7.744026429002823 -2.6482638632466227 1.0
8084-12703 637.0 0.7365571360350462 -8.161303217856494 0.6628430171390555 0.033017987460066435 0.7314805716045369 -8.116861870140518 0.35844570693219086 1.0223674677822363 8.404765417746008 -2.0844001020098366 -1.0
