plateifu gini m20 C A S morph_flag
8143-9102 0.37350226478299453 -0.7352567784446062 1.6050998910055327 0.5441969805954172 0.3161695767070522 0.0
8145-12704 0.47226925064443237 -0.7145988553773149 0.954132777122766 0.7286235816658616 0.27956769818085947 0.0
8145-3701 0.43680752381229604 -1.6305634643700129 2.365094570356825 0.2781899359992622 0.1567031057279193 0.0
8145-6103 0.3407183825611247 -0.7164603349938243 1.3864820889996308 0.5516674719088746 0.2158605104273203 0.0
8145-6104 0.5847027586031457 -0.8949934908625995 2.1190166256645138 0.6267150724640428 0.3295211277397617 0.0
8145-9102 0.580788816065737 -1.0704657833339386 1.0905177639492545 0.9726167160768165 0.2076717235920843 0.0
8146-1901 0.5170308506758264 -1.6130064330597322 2.3595461367722983 0.18144965673724975 0.07580395798449821 0.0
8146-6103 0.4958802658862849 -0.8969524223183034 1.0358369643193712 0.9100473707844329 0.18397349496998633 0.0
8146-9102 0.5811234422189157 -0.6987087077201611 1.5257168145792317 0.5292213110476431 0.3210880823313877 0.0
8147-12701 0.42337233288535625 -0.5790059509424925 1.2705914544815557 0.4525441454316972 0.22926293464028105 0.0
8147-12703 0.40756106605680675 -0.8952866345528517 1.264781286570804 0.7356124600092332 0.20001144186441466 0.0
8147-1901 0.4340154419508299 -1.6257350237052015 2.3925838185229544 0.133849053581476 0.08423211977151882 0.0
8147-1902 0.4169357055346605 -1.6557938208616414 2.3725002756002733 0.20497870124529904 0.08475021053047516 0.0
8147-3702 0.3993543007821201 -0.8339959165622015 1.6798631670331545 0.4238834469391843 0.14142926399352046 0.0
8147-6101 0.4070580939328763 -1.2204780946715807 1.772447474652812 0.7123183419041642 0.12486892469951999 0.0
8147-6103 0.3414668394294265 -0.7258027383342146 1.6572291755364585 0.5147946728561078 0.1231797650899544 0.0
8147-9101 0.4631503911031952 -0.5377310835237481 1.4378219755537156 0.6543581562194598 0.27050535983890645 0.0
8147-9102 0.6410085781572467 -0.7510094828352689 1.2571675640187376 0.8885084485933477 0.25986823318685437 0.0
8149-3703 0.66530907535729 -1.1083503022037726 3.2494323484041443 0.7152941024114408 0.46823763384681844 1.0
8149-6101 0.48633602650436225 -1.000817223374648 1.5028225647265925 0.8141689501649738 0.17184450911456917 0.0
8149-6103 0.4787735617131971 -1.1893152946136019 1.4998916909779367 0.8976456992517632 0.21402412562629528 0.0
8149-9101 0.5224041664522094 -0.9422584413832878 1.333383387940117 0.6722532061503282 0.16798532245674672 0.0
8155-12703 0.46518573800620233 -0.7761910162280512 1.387209642752878 0.8792817307490484 0.2574397647528085 0.0
8155-1902 0.3888763358438347 -1.570611596120863 2.262945905226224 0.31969912917444837 0.11987328471883149 0.0
8155-3701 0.3710766518943977 -0.7277554193382401 1.3417052352596615 0.5770042130843231 0.18143041088156112 0.0
8155-3703 0.5273202155001727 -1.8435537810348495 3.0583636515668693 0.2191439247209455 0.16073852673888223 0.0
8155-6102 0.3306503920394754 -0.5593151024650975 1.4502904194145707 0.4413531973095031 0.24610894469968272 0.0
8155-6104 0.3047363833105837 -0.7243033868217278 1.6529818617212415 0.447026350564226 0.15070933111815624 0.0
8156-12703 0.48030982390773813 -0.5803812986860277 1.521148825849286 0.69835838811836 0.3131973327138127 0.0
