plateifu D4000_slope D4000_mode
8239-12705 -0.12918716971452407 1
8239-3702 -0.007454805709578323 1
8239-3704 -0.054852706884532004 1
8239-9101 -0.14060479585633062 1
8239-9102 -0.048826139026529665 1
8241-3703 -0.07291800891653763 1
8241-3704 -0.12452892380007415 1
8241-6101 0.05425015196064773 -1
8241-6102 -0.1259037839305469 1
8243-9101 0.007729257412369609 -1
8244-12702 -0.07310491109008499 1
8244-3702 0.16564914052144397 -1
8244-6101 -0.04265262613746752 1
8244-9101 -0.3054538645074021 1
8247-12702 -0.07622729561456981 1
8247-12703 -0.12772702828704058 1
8247-12704 -0.0790711141253307 1
8247-3701 -0.40503115362995507 1
8247-9101 -0.14567898207376845 1
8249-3703 0.22427096156591642 -1
8249-6102 -0.05473035094535611 1
8250-3703 nan 0
8250-3704 0.07528454011370454 -1
8252-12701 0.45254937380719384 -1
8252-1902 nan 0
8252-6101 0.03371536705243866 -1
8252-6102 -0.17787938500612166 1
8252-9102 -0.03689368878989853 1
8253-3703 0.04832263282305519 -1
8254-12701 -0.07121196138834641 1
8254-12703 -0.048751929520604184 1
8254-12704 -0.05544790340125981 1
8254-1901 -0.000314255704612954 1
8254-1902 0.08793768318032341 -1
8254-6102 -0.050455639417973215 1
8254-9102 -0.05099667891375694 1
8255-12702 -0.0966008331442709 1
8255-12705 -0.27057796206212226 1
8255-3701 0.07288752565584133 -1
8255-3702 -0.04187392864380679 1
8255-3703 0.17809745859510176 -1
8256-12703 -0.23601966505306898 1
8256-6102 0.017462748192861748 -1
8257-3704 -0.06327440559604201 1
8257-6101 -0.27918935095237746 1
8257-6102 -0.1546520438352535 1
8257-6103 -0.4028785919165294 1
8258-1901 0.08054376825397763 -1
8258-1902 -0.1368171900310888 1
8258-3701 -0.04649354076411491 1
8258-3702 -0.019955979203936318 1
8258-6101 -0.06306447992541576 1
8258-9101 -0.02627213872410378 1
8259-1902 0.022686477822533215 -1
8259-3702 -0.12628391438965192 1
8259-3704 0.03219814489634768 -1
8259-6104 -0.00487337859984863 1
8259-9101 0.030091499421587637 -1
8259-9102 -0.309628296659758 1
8261-1901 0.047330430081377085 -1
8261-6102 -0.1315630844984139 1
8262-12703 -0.19158913301814995 1
8262-1901 -0.00020577319666654047 1
8262-3702 -0.06242949937218006 1
8262-3703 -0.1705919292702469 1
8262-6101 -0.020600318594431448 1
8262-9102 0.14023889243310356 -1
8263-12704 0.01346157091232882 -1
