plateifu weight_difference weight_ratio mode_flag bptclass
8465-12701 618.0 4.233908948194663 1.0 1.0
8465-12705 862.0 13.47467438494935 1.0 1.0
8465-6102 14.0 1.0283918069357127 0.0 1.0
8465-9102 350.0 2.076591817902184 0.0 1.0
8466-12704 826.0 10.483352468427096 1.0 2.0
8466-3702 212.0 1.5379345343821365 0.0 2.0
8481-12704 656.0 4.811737361998838 1.0 2.0
8481-9102 -296.0 0.5432803579694492 0.0 1.0
8482-12705 962.0 51.366492146596855 1.0 1.0
8482-3702 940.0 32.22923588039867 1.0 3.0
8483-12702 -258.0 0.5898903195040535 0.0 1.0
8483-12705 724.0 6.242577842143374 1.0 1.0
8483-1901 420.0 2.447776628748707 0.0 3.0
8483-6103 632.0 4.432916892992939 1.0 1.0
8484-6104 692.0 5.490590525632706 1.0 1.0
8485-12701 -26.0 0.9493276164490353 0.0 1.0
8485-12702 750.0 6.9952038369304566 1.0 2.0
8485-1901 98.0 1.2172467302150298 0.0 1.0
8485-3701 -798.0 0.11244577911244577 -1.0 1.0
8485-3702 440.0 2.570867547304534 0.0 1.0
8485-6101 298.0 1.848761036741669 0.0 1.0
8485-9102 962.0 51.366492146596855 1.0 2.0
8486-12702 486.0 2.8903150525087513 0.0 1.0
8486-1901 -852.0 0.08001295756397796 -1.0 1.0
8486-6101 334.0 2.0027018913239267 0.0 1.0
8486-9101 -406.0 0.42255724647987486 0.0 1.0
8486-9102 -82.0 0.8484568471631861 0.0 1.0
8547-3703 136.0 1.3147419578801203 0.0 2.0
8547-3704 -1000.0 9.999000099990002e-05 -1.0 1.0
8547-6103 872.0 14.603744149765992 1.0 2.0
8548-12702 766.0 7.5414175918018795 1.0 1.0
8548-1902 436.0 2.5455512229705777 0.0 1.0
8548-3702 -144.0 0.7482957524908233 0.0 1.0
8548-3704 262.0 1.7098347331346517 0.0 1.0
8548-6102 490.0 2.920815366522932 0.0 1.0
8548-6103 770.0 7.689834926151174 1.0 1.0
8548-9102 630.0 4.40356564019449 1.0 1.0
8549-1901 -840.0 0.08705575480925985 -1.0 1.0
8549-6103 462.0 2.7168338907469343 0.0 1.0
8549-6104 -152.0 0.7361569172018747 0.0 1.0
8549-9102 794.0 8.70126091173618 1.0 1.0
8550-12703 278.0 1.7698698421489891 0.0 1.0
8551-12702 998.0 908.2727272727273 1.0 1.0
8551-12703 814.0 9.74328678839957 1.0 2.0
8551-12705 -10.0 0.9802019402098594 0.0 1.0
8552-3701 -916.0 0.0439411334933723 -1.0 1.0
8552-6101 674.0 5.132434089515635 1.0 1.0
8553-1901 -1000.0 9.999000099990002e-05 -1.0 1.0
8553-3704 -68.0 0.872683018161393 0.0 1.0
8553-9102 492.0 2.936245572609209 0.0 3.0
8554-12702 532.0 3.272533105510466 1.0 1.0
8554-3701 -542.0 0.29710802749319154 -1.0 1.0
8554-3704 -690.0 0.1835285764998225 -1.0 1.0
8554-6101 -580.0 0.2659157068725478 -1.0 1.0
8554-9101 764.0 7.46909398814564 1.0 1.0
8555-12702 352.0 2.086084541808084 0.0 3.0
8555-12705 396.0 2.310824230387289 0.0 3.0
8555-9102 896.0 18.197696737044147 1.0 2.0
8566-12702 576.0 3.7157001414427158 1.0 1.0
8566-12704 736.0 6.571536714610144 1.0 1.0
8566-3703 322.0 1.9495723975228545 0.0 1.0
8566-6103 634.0 4.462588749317313 1.0 1.0
8567-3701 896.0 18.197696737044147 1.0 2.0
8567-6101 872.0 14.603744149765992 1.0 1.0
8567-9101 102.0 1.2271209084836339 0.0 1.0
8567-9102 200.0 1.4998750312421893 0.0 2.0
8568-12703 316.0 1.923706518561824 0.0 2.0
8568-3703 -476.0 0.3551009348326785 0.0 1.0
8568-3704 874.0 14.851030110935024 1.0 1.0
8588-1901 -6.0 0.9880739415623137 0.0 1.0
8588-6101 696.0 5.575936883629192 1.0 3.0
8588-9102 770.0 7.689834926151174 1.0 2.0
8591-12705 736.0 6.571536714610144 1.0 3.0
8591-3703 768.0 7.61498708010336 1.0 1.0
8591-9102 874.0 14.851030110935024 1.0 2.0
8592-12701 180.0 1.4389173372348207 0.0 1.0
8592-12702 568.0 3.6284127718648778 1.0 2.0
8592-3702 344.0 2.0484608351112463 0.0 1.0
8592-3703 330.0 1.9847806624888091 0.0 1.0
8592-3704 -254.0 0.5949609312709296 0.0 1.0
8592-9101 962.0 51.366492146596855 1.0 1.0
8595-12703 844.0 11.806658130601793 1.0 2.0
8595-12705 858.0 13.067510548523208 1.0 3.0
8595-6102 894.0 17.836158192090394 1.0 2.0
8595-6103 722.0 6.190510424155284 1.0 1.0
8597-12701 956.0 44.257918552036195 1.0 2.0
8600-12705 934.0 29.21752265861027 1.0 2.0
8600-1901 -296.0 0.5432803579694492 0.0 1.0
8602-3701 784.0 8.25254394079556 1.0 2.0
8602-6103 30.0 1.061842918985776 0.0 2.0
8602-9101 714.0 5.989517819706499 1.0 1.0
8603-12704 82.0 1.1786103245480288 0.0 1.0
8603-9102 870.0 14.364055299539173 1.0 3.0
8604-3702 -96.0 0.8248494800218938 0.0 2.0
8604-9102 -308.0 0.529123987157927 0.0 1.0
8606-12705 40.0 1.083315975838367 0.0 2.0
8611-12701 802.0 9.092835519677095 1.0 2.0
8611-12702 752.0 7.059629331184529 1.0 3.0
8611-3702 60.0 1.1276324186343332 0.0 1.0
8611-6102 -130.0 0.769952220845868 0.0 1.0
8612-9101 -24.0 0.9531341534856473 0.0 1.0
8612-9102 956.0 44.257918552036195 1.0 2.0
8613-12703 52.0 1.1096815017928707 0.0 1.0
8613-1902 -72.0 0.8656966983771684 0.0 3.0
8613-6101 926.0 25.959568733153638 1.0 1.0
8615-12705 600.0 3.9985007496251876 1.0 2.0
8615-1901 -364.0 0.46635390705175195 0.0 1.0
8615-1902 -102.0 0.8149156232988568 0.0 1.0
8615-6102 388.0 2.267559621038876 0.0 3.0
8616-1901 188.0 1.4629401625215464 0.0 1.0
8616-3703 970.0 65.2384105960265 1.0 1.0
8616-3704 376.0 2.204742069849407 0.0 3.0
8616-9101 398.0 2.321819993357688 0.0 3.0
8616-9102 784.0 8.25254394079556 1.0 1.0
8618-3704 -28.0 0.9455358879595409 0.0 1.0
8623-12701 -802.0 0.10997669515037176 -1.0 2.0
8623-9101 166.0 1.3979860944617597 0.0 1.0
8626-12703 908.0 20.69631236442516 1.0 1.0
8626-12704 -1000.0 9.999000099990002e-05 -1.0 1.0
8626-9101 156.0 1.3695806680881308 0.0 2.0
8655-3701 102.0 1.2271209084836339 0.0 3.0
8655-6101 204.0 1.5124340617935192 0.0 1.0
8655-6102 750.0 6.9952038369304566 1.0 1.0
8655-9102 -52.0 0.9011594753849078 0.0 1.0
8711-12703 160.0 1.3808616995953344 0.0 2.0
8711-3701 66.0 1.1412973667308928 0.0 1.0
8711-6103 652.0 4.744974152785756 1.0 1.0
8711-9102 102.0 1.2271209084836339 0.0 2.0
8712-12702 676.0 5.1702652683528685 1.0 1.0
8712-6101 150.0 1.3528581510232887 0.0 1.0
8713-12701 820.0 10.100998890122087 1.0 1.0
8713-12702 -188.0 0.683554957077933 0.0 1.0
8713-1902 -374.0 0.4556833066511425 0.0 1.0
8713-3704 716.0 6.038705137227305 1.0 3.0
8713-9102 406.0 2.3665432514304947 0.0 1.0
8714-12702 -286.0 0.555279116778106 0.0 2.0
8714-12703 612.0 4.1530139103554875 1.0 2.0
8714-6104 -208.0 0.6556861446780334 0.0 1.0
8715-12704 424.0 2.4717112113849358 0.0 1.0
8715-1902 768.0 7.61498708010336 1.0 1.0
8715-9101 996.0 475.2857142857143 1.0 1.0
8715-9102 682.0 5.2866121935889385 1.0 1.0
8716-12701 -1000.0 9.999000099990002e-05 -1.0 2.0
8716-12702 152.0 1.3584060363121906 0.0 1.0
8716-12703 418.0 2.4359326691858465 0.0 1.0
8716-12705 912.0 21.680272108843536 1.0 2.0
8716-1901 -1000.0 9.999000099990002e-05 -1.0 2.0
8716-3701 980.0 98.02970297029704 1.0 3.0
8716-6101 156.0 1.3695806680881308 0.0 1.0
8716-9102 834.0 11.036101083032491 1.0 1.0
8717-3703 -1000.0 9.999000099990002e-05 -1.0 1.0
8717-3704 254.0 1.6807826320021442 0.0 1.0
8718-12703 -64.0 0.8797218567938357 0.0 1.0
8718-12704 -356.0 0.47500368677186255 0.0 1.0
8718-3703 -288.0 0.5528644620400559 0.0 1.0
8718-6104 -38.0 0.9267963783471392 0.0 1.0
8718-9101 356.0 2.1052468177584602 0.0 1.0
8719-3703 630.0 4.40356564019449 1.0 1.0
8719-6104 598.0 3.973644952759821 1.0 1.0
8720-1902 -92.0 0.8315326863211866 0.0 1.0
8720-6102 800.0 8.992007992007993 1.0 1.0
8721-12705 710.0 5.893177119228119 1.0 2.0
8721-3701 114.0 1.2572782667569398 0.0 2.0
8721-9101 734.0 6.5146506386175815 1.0 2.0
8724-1902 348.0 2.0671573137074515 0.0 1.0
8724-6103 -1000.0 9.999000099990002e-05 -1.0 1.0
8724-9101 296.0 1.8406702641295085 0.0 1.0
8724-9102 126.0 1.2882635552505148 0.0 1.0
8725-3701 -228.0 0.6287249633610161 0.0 1.0
8725-3703 360.0 2.1246485473289596 0.0 1.0
8725-6102 28.0 1.0576013166015223 0.0 1.0
8726-3703 24.0 1.0491702519975414 0.0 1.0
8728-12704 832.0 10.892984542211654 1.0 1.0
8728-12705 818.0 9.97914379802415 1.0 1.0
8728-6104 -484.0 0.34779679288505594 0.0 1.0
8931-12701 728.0 6.349008082292433 1.0 1.0
8931-3703 -40.0 0.92309171313209 0.0 1.0
8934-12701 946.0 35.90774907749078 1.0 3.0
8934-3701 116.0 1.2623840760009049 0.0 1.0
8939-1902 -320.0 0.5152249659142555 0.0 1.0
8939-3704 10.0 1.0201979398101393 0.0 1.0
8942-12704 202.0 1.5061388123277373 0.0 1.0
8942-12705 662.0 4.91484328799527 1.0 2.0
8942-1902 638.0 4.522915516289343 1.0 1.0
8942-3703 22.0 1.0449805765692088 0.0 1.0
8942-6102 -842.0 0.08587558354141786 -1.0 1.0
8942-9102 488.0 2.9055056618508392 0.0 1.0
8943-12702 624.0 4.317384370015949 1.0 1.0
8943-12703 390.0 2.2782694198623403 0.0 1.0
8945-12701 194.0 1.481270156288762 0.0 1.0
8945-3702 -414.0 0.4145099703012304 0.0 1.0
8945-9102 728.0 6.349008082292433 1.0 3.0
8946-6101 188.0 1.4629401625215464 0.0 1.0
8946-9101 316.0 1.923706518561824 0.0 1.0
8947-12702 -154.0 0.7331485011263212 0.0 1.0
8947-6103 458.0 2.689413500553301 0.0 1.0
8947-9101 760.0 7.328059950041633 1.0 1.0
8948-6101 -292.0 0.5480575762265903 0.0 1.0
8948-9101 770.0 7.689834926151174 1.0 1.0
8949-12701 226.0 1.5838284680960992 0.0 1.0
8949-12703 658.0 4.845704266510813 1.0 1.0
8952-12705 930.0 27.495726495726494 1.0 1.0
8952-3703 940.0 32.22923588039867 1.0 3.0
8978-3701 342.0 2.039197812215132 0.0 1.0
8978-6101 880.0 15.642262895174708 1.0 3.0
8979-12703 814.0 9.74328678839957 1.0 1.0
8979-3704 790.0 8.51665080875357 1.0 1.0
8980-12701 462.0 2.7168338907469343 0.0 1.0
8987-3701 -476.0 0.3551009348326785 0.0 1.0
9002-12705 804.0 9.195718654434252 1.0 2.0
9026-1902 2.0 1.0040072129833701 0.0 3.0
9026-3701 68.0 1.1458914396052349 0.0 1.0
9026-3703 182.0 1.4448790026888292 0.0 1.0
9026-6102 -410.0 0.4185221954332719 0.0 1.0
9029-1902 -98.0 0.8215261336732835 0.0 1.0
