SPECOBJID RA DEC bptclass lgm_tot lgsfr_tot plateifu
403178025144838144 261.721160889 56.8487548828 1 10.6004447937 0.420523047447 8626-3702
403181873435535360 261.466064453 56.8521003723 2 9.58002281189 -1.17374634743 7990-6102
403188745383208960 262.100036621 57.0020942688 2 10.093536377 -0.587698400021 7990-3702
403203313912276992 262.468322754 56.8263168335 2 10.2898216248 0.0255487393588 8626-9101
403206062691346432 263.15020752 56.8452720642 1 9.91452884674 -0.103804267943 7990-12701
403206337569253376 263.205383301 56.9012756348 1 10.6703252792 0.898446321487 8626-12702
403210735615764480 263.755187988 57.0523757935 1 8.595703125 1.15521872044 8626-12704
403211560249485312 263.525299072 56.7996406555 3 10.8371295929 0.165886342525 8626-12701
403221180976228352 264.662536621 56.8242683411 1 10.1147270203 0.156683295965 8626-3703
403230801702971392 264.522491455 57.118144989 1 10.7307224274 0.720837950706 7990-1902
403243995842504704 265.108856201 56.7012710571 1 10.9164533615 0.504063248634 8626-12703
412096442174302208 263.635375977 58.2301750183 1 9.11357879639 -0.908527195454 7990-12703
412116508261509120 262.265472412 57.7692832947 2 9.69656658173 -1.72416853905 8626-1901
412144270930110464 261.60760498 58.5888748169 1 10.0322332382 0.38046219945 7990-6104
412154441412667392 260.963012695 58.321849823 2 10.3432121277 -1.04784023762 7990-9102
412190450418477056 261.463928223 60.1941299438 1 10.520026207 0.322639137506 8611-3702
412205843581265920 261.979003906 59.7211074829 1 8.86468982697 -0.796226143837 8611-12705
412234430883588096 262.996734619 59.9716758728 3 10.4390687943 -1.44915986061 8611-3704
433479740385421312 356.751800537 -0.447393417358 3 11.1261863708 0.977398395538 8655-3701
433634496647030784 356.092437744 0.096381329 2 9.44948291779 -0.887711405754 8655-12701
433479192206665728 356.751800537 -0.447393417358 3 11.1261854172 0.977364659309 8655-3701
433634773101996032 356.092437744 0.096381329 2 9.44849491119 -0.888727486134 8655-12701
434622957684287488 358.094451904 -0.62875777483 1 9.4289855957 -0.641012430191 8655-6101
434632853288937472 357.651794434 -1.12810134888 2 10.6408872604 -0.332999676466 8655-12705
434642474015680512 358.221923828 -0.382426053286 1 10.0281648636 0.142273798585 8655-9102
434655393277306880 357.543182373 -1.01682174206 1 9.50456428528 -0.522266566753 8655-3704
434669961806374912 356.80569458 -0.480174154043 2 10.5305299759 0.0999726206064 8655-12704
434680132288931840 356.270324707 -0.270825952291 1 9.83716869354 -0.249450549483 8655-12702
434702947155208192 357.222991943 0.642216861248 1 9.4024105072 -0.688775360584 8655-12703
434740330550552576 358.066009521 0.102960206568 1 9.08413314819 -0.498677253723 8655-6102
459378737415219200 40.4863624573 -1.03057086468 2 9.64772987366 -0.0428750142455 8077-12701
459528820752410624 40.5568618774 0.382938712835 1 9.77626800537 -0.403991192579 8077-6102
459542289769850880 40.9689979553 0.152680873871 1 10.0510778427 -0.259411722422 8077-12702
460508761329526784 42.5421180725 -0.867130815983 1 10.514995575 0.167434379458 8078-9102
460509585963247616 42.387462616 -0.784461736679 1 9.40268516541 -0.118574738503 8078-3703
460516183033014272 42.2280082703 -0.966780662537 1 9.39224910736 -0.37529411912 8078-3704
460519481567897600 42.2791213989 -0.902328848839 1 9.50552845001 -0.681355834007 8078-12705
460520855957432320 42.41664505 -0.636928677559 1 9.54229736328 -0.459444284439 8078-3701
460523329858594816 42.3973579407 -0.723754227161 1 9.60977745056 -0.142216429114 8078-9101
460531301317896192 42.0327835083 -0.752304375172 1 10.4951372147 0.511025667191 8077-6104
460535424486500352 42.1423187256 -0.549837768078 1 9.15537452698 -0.403884798288 8077-9102
460549168381847552 41.6431121826 -0.84352940321 3 10.4903106689 0.0348656140268 8077-9101
460596997137655808 41.2805976868 0.950126409531 2 10.2189426422 -0.347795397043 8077-12704
460623935172536320 41.846370697 0.0587859675288 1 10.151017189 0.0900138318539 8077-3702
460628882974861312 42.1984138489 -0.109184488654 1 10.3044061661 -0.182033002377 8077-3704
460639603213232128 42.0922164917 0.986425995827 2 9.43550109863 -1.01903700829 8078-3702
460643726381836288 42.7393951416 0.369406014681 3 10.0524921417 0.633784592152 8078-6104
463915324236916736 47.7721405029 -0.546471714973 3 10.4639749527 -0.0667930692434 8081-9101
463919172527613952 47.7586326599 -0.182327091694 2 8.99205589294 -0.697668850422 8081-12702
464012081260161024 47.956237793 -0.00311456783675 1 9.47286510468 -0.453472048044 8081-1902
464016754184579072 47.9148902893 0.78169465065 1 9.69599533081 0.197586715221 8081-1901
464019777841555456 48.0654563904 0.240451157093 1 9.68595027924 -0.0861444324255 8081-6103
464042592707831808 49.1085472107 0.321614325047 1 8.92977809906 -0.912886619568 8082-3702
463917253482539008 47.7586326599 -0.182327091694 2 8.99225234985 -0.697541713715 8081-12702
463919452505794560 47.7721405029 -0.546471714973 3 10.464931488 -0.0658387243748 8081-9101
464012361238341632 47.956237793 -0.00311456783675 1 9.47341918945 -0.42800745368 8081-1902
464017309040666624 47.9148902893 0.78169465065 1 9.69633865356 0.180434986949 8081-1901
464024730744154112 48.0654563904 0.240451157093 1 9.68623828888 -0.0932359546423 8081-6103
464046171220895744 49.1085472107 0.321614325047 2 8.92931842804 -0.823438167572 8082-3702
463912031053965312 47.7586326599 -0.182327091694 2 8.9918012619 -0.698047995567 8081-12702
463915604466755584 47.7721405029 -0.546471714973 1 10.4647293091 -0.0363011620939 8081-9101
